id;country;street;postal_code;city;state_province
1;Philippines;Matteo Light;Human Quality Frozen;New Kenyonburgh;index experiences bypassing
2;Equatorial Guinea;Jan Rapid;optical Michigan;Catonsville;Mandatory web-readiness
3;Saint Helena;Miller Gateway;Producer;North Linneamouth;Developer
4;Aruba;Kautzer Neck;invoice;Lenexa;invoice Hat
5;Mayotte;Stamm Radial;policy;Ellieville;Bike Timor-Leste grow
6;Congo;Marcelo Plains;Toys contextually-based Sausages;Port Ephraim;Soap Account
7;Dominica;Paul Burg;HTTP grow USB;New Isabelle;Bacon morph
8;Tajikistan;Von Shoals;optical;New Rozellashire;state Savings
9;Ethiopia;Leo Points;Administrator Borders Greece;Virginia Beach;input Account
10;Poland;Madge Estates;multi-tasking Supervisor;Gresham;Tasty Cuban
