id;name;from_date;to_date;created_date
1;red Computers Toys;2022-08-30T04:15:00;2022-08-29T23:14:19;2022-08-30T05:17:38
2;Supervisor;2022-08-30T06:12:38;2022-08-29T23:19:58;2022-08-29T13:23:15
3;Toys;2022-08-30T00:22:53;2022-08-30T02:28:36;2022-08-30T03:14:19
4;paradigms;2022-08-29T15:34:44;2022-08-30T08:34:51;2022-08-29T23:41:08
5;Reunion reintermediate Montserrat;2022-08-29T15:27:00;2022-08-29T11:47:24;2022-08-30T07:03:52
6;transition;2022-08-30T07:16:18;2022-08-30T03:26:03;2022-08-30T06:04:21
7;purple;2022-08-29T13:23:35;2022-08-29T22:50:09;2022-08-30T04:43:44
8;Italy invoice;2022-08-29T21:45:13;2022-08-30T05:12:39;2022-08-29T20:57:43
9;Crossroad;2022-08-29T16:04:54;2022-08-29T23:39:49;2022-08-29T17:56:54
10;Consultant SMTP;2022-08-30T02:26:33;2022-08-30T03:11:22;2022-08-29T16:31:46
